Token: tipo=CLASS, valor='class'
Token: tipo=ID_CLASE, valor='Vehiculo'
Token: tipo=DEF, valor='def'
Token: tipo=INITIALIZE, valor='initialize'
Token: tipo=PARENTESIS_IZ, valor='('
Token: tipo=VARIABLE, valor='marca'
Token: tipo=COMA, valor=','
Token: tipo=VARIABLE, valor='modelo'
Token: tipo=COMA, valor=','
Token: tipo=VARIABLE, valor='velocidad'
Token: tipo=IGUAL, valor='='
Token: tipo=ENTERO, valor='0'
Token: tipo=PARENTESIS_DER, valor=')'
Token: tipo=VARIABLE, valor='@marca'
Token: tipo=IGUAL, valor='='
Token: tipo=VARIABLE, valor='marca'
Token: tipo=VARIABLE, valor='@modelo'
Token: tipo=IGUAL, valor='='
Token: tipo=VARIABLE, valor='modelo'
Token: tipo=VARIABLE, valor='@velocidad'
Token: tipo=IGUAL, valor='='
Token: tipo=VARIABLE, valor='velocidad'
Token: tipo=END, valor='end'
Token: tipo=DEF, valor='def'
Token: tipo=VARIABLE, valor='acelerar'
Token: tipo=PARENTESIS_IZ, valor='('
Token: tipo=VARIABLE, valor='incremento'
Token: tipo=PARENTESIS_DER, valor=')'
Token: tipo=VARIABLE, valor='@velocidad'
Token: tipo=MAS, valor='+'
Token: tipo=IGUAL, valor='='
Token: tipo=VARIABLE, valor='incremento'
Token: tipo=END, valor='end'
Token: tipo=DEF, valor='def'
Token: tipo=VARIABLE, valor='frenar'
Token: tipo=PARENTESIS_IZ, valor='('
Token: tipo=VARIABLE, valor='decremento'
Token: tipo=PARENTESIS_DER, valor=')'
Token: tipo=VARIABLE, valor='@velocidad'
Token: tipo=MENOS, valor='-'
Token: tipo=IGUAL, valor='='
Token: tipo=VARIABLE, valor='decremento'
Token: tipo=VARIABLE, valor='@velocidad'
Token: tipo=IGUAL, valor='='
Token: tipo=ENTERO, valor='0'
Token: tipo=IF, valor='if'
Token: tipo=VARIABLE, valor='@velocidad'
Token: tipo=MENOR_QUE, valor='<'
Token: tipo=ENTERO, valor='0'
Token: tipo=END, valor='end'
Token: tipo=DEF, valor='def'
Token: tipo=VARIABLE, valor='estado'
Token: tipo=CADENA, valor='"El #{@marca} #{@modelo} va a #{@velocidad} km/h."'
Token: tipo=END, valor='end'
Token: tipo=END, valor='end'
Token: tipo=VARIABLE, valor='vehiculo1'
Token: tipo=IGUAL, valor='='
Token: tipo=ID_CLASE, valor='Vehiculo'
Token: tipo=PUNTO, valor='.'
Token: tipo=VARIABLE, valor='new'
Token: tipo=PARENTESIS_IZ, valor='('
Token: tipo=CADENA, valor='"Toyota"'
Token: tipo=COMA, valor=','
Token: tipo=CADENA, valor='"Corolla"'
Token: tipo=PARENTESIS_DER, valor=')'
Token: tipo=PUTS, valor='puts'
Token: tipo=VARIABLE, valor='vehiculo1'
Token: tipo=PUNTO, valor='.'
Token: tipo=VARIABLE, valor='estado'
Token: tipo=VARIABLE, valor='marcas'
Token: tipo=IGUAL, valor='='
Token: tipo=CORCHETE_IZ, valor='['
Token: tipo=CADENA, valor='"Ford"'
Token: tipo=COMA, valor=','
Token: tipo=CADENA, valor='"Chevrolet"'
Token: tipo=COMA, valor=','
Token: tipo=CADENA, valor='"Honda"'
Token: tipo=CORCHETE_DER, valor=']'
Token: tipo=VARIABLE, valor='marcas'
Token: tipo=MENOR_QUE, valor='<'
Token: tipo=MENOR_QUE, valor='<'
Token: tipo=VARIABLE, valor='vehiculo1'
Token: tipo=PUNTO, valor='.'
Token: tipo=VARIABLE, valor='marca'
Token: tipo=VARIABLE, valor='modelos'
Token: tipo=IGUAL, valor='='
Token: tipo=LLAVE_IZ, valor='{'
Token: tipo=CADENA, valor='"Ford"'
Token: tipo=ASIGNA_HASH, valor='=>'
Token: tipo=CADENA, valor='"Focus"'
Token: tipo=COMA, valor=','
Token: tipo=CADENA, valor='"Chevrolet"'
Token: tipo=ASIGNA_HASH, valor='=>'
Token: tipo=CADENA, valor='"Malibu"'
Token: tipo=COMA, valor=','
Token: tipo=CADENA, valor='"Honda"'
Token: tipo=ASIGNA_HASH, valor='=>'
Token: tipo=CADENA, valor='"Civic"'
Token: tipo=LLAVE_DER, valor='}'
Token: tipo=VARIABLE, valor='modelos'
Token: tipo=CORCHETE_IZ, valor='['
Token: tipo=VARIABLE, valor='vehiculo1'
Token: tipo=PUNTO, valor='.'
Token: tipo=VARIABLE, valor='marca'
Token: tipo=CORCHETE_DER, valor=']'
Token: tipo=IGUAL, valor='='
Token: tipo=VARIABLE, valor='vehiculo1'
Token: tipo=PUNTO, valor='.'
Token: tipo=VARIABLE, valor='modelo'
Token: tipo=PUTS, valor='puts'
Token: tipo=CADENA, valor='"Marcas en la lista:"'
Token: tipo=FOR, valor='for'
Token: tipo=VARIABLE, valor='marca'
Token: tipo=IN, valor='in'
Token: tipo=VARIABLE, valor='marcas'
Token: tipo=PUTS, valor='puts'
Token: tipo=VARIABLE, valor='marca'
Token: tipo=END, valor='end'
Token: tipo=VARIABLE, valor='contador'
Token: tipo=IGUAL, valor='='
Token: tipo=ENTERO, valor='0'
Token: tipo=WHILE, valor='while'
Token: tipo=VARIABLE, valor='contador'
Token: tipo=MENOR_QUE, valor='<'
Token: tipo=VARIABLE, valor='marcas'
Token: tipo=PUNTO, valor='.'
Token: tipo=VARIABLE, valor='length'
Token: tipo=PUTS, valor='puts'
